Author Last,Author First,Title,ISBN1,ISBN2,ISBN3,Pub City,Publisher,Pub Date,HEB ID,Subject Category,URL
Horton, James Oliver,"In hope of liberty: culture, community, and protest among northern free Blacks, 1700-1860",,,,New York,Oxford University Press,1998-01-01,HEB02341.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb02341.0001.001,9780195352368
Field, Phyllis F,The politics of race in New York: the struggle for black suffrage in the Civil War era,,,,"Ithaca, N.Y.",Cornell University Press,1982-01-01,HEB02338.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb02338.0001.001,9781501721533
Dean, Warren,With broadax and firebrand: the destruction of the Brazilian Atlantic forest,,,,Berkeley,University of California Press,1997-01-01,HEB02364.0001.001,Comparative/World,https://hdl.handle.net/2027/heb02364.0001.001,9780520208865
Totman, Conrad D.,The green archipelago: forestry in preindustrial Japan,,,,Berkeley,University of California Press,1989-01-01,HEB02365.0001.001,"Asian: Northeast (Japan, Korea)",https://hdl.handle.net/2027/heb02365.0001.001,9780520063136
Furnivall, J. S.,Colonial policy and practice: a comparative study of Burma and Netherlands India,,,,Cambridge [England],Cambridge University Press,1948-01-01,HEB02456.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02456.0001.001
Leach, Edmund Ronald,Political systems of Highland Burma: a study of Kachin social structure,,,,London,Athlone Press,1970-01-01,HEB02461.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02461.0001.001,9780485196443
Coedès, George,The Indianized states of Southeast Asia,,,,Honolulu,East-West Center Press,1968-01-01,HEB02455.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02455.0001.001,9780824803681
Holt, Claire,Art in Indonesia: continuities and change,,,,"Ithaca, N.Y.",Cornell University Press,1967-01-01,HEB02458.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02458.0001.001,9780801401886
Inikori, J. E.,Africans and the industrial revolution in England: a study in international trade and development,,,,Cambridge [England],Cambridge University Press,2002-01-01,HEB02605.0001.001,African,https://hdl.handle.net/2027/heb02605.0001.001,9780521811934
Fairhead, James,Misreading the African landscape: society and ecology in a forest-savanna mosaic,,,,Cambridge [England],Cambridge University Press,1996-01-01,HEB02590.0001.001,African,https://hdl.handle.net/2027/heb02590.0001.001,9780521564991
Isaacman, Allen F.,"Cotton is the mother of poverty: peasants, work, and rural struggle in colonial Mozambique, 1938-1961",,,,"Portsmouth, N.H.",Heinemann,1996-01-01,HEB02612.0001.001,African,https://hdl.handle.net/2027/heb02612.0001.001,9780435089788
Hunt, Nancy Rose,"A colonial lexicon of birth ritual, medicalization, and mobility in the Congo",,,,"Durham, NC",Duke University Press,1999-01-01,HEB02610.0001.001,African,https://hdl.handle.net/2027/heb02610.0001.001,9780822381365
Prescott, William Hickling,"Conquest of Mexico, Vol. 1",,,,London,Chatto & Windus,1922-01-01,HEB02784.0001.001,Latin American,https://hdl.handle.net/2027/heb02784.0001.001
Parry, J. H.,The age of reconnaissance,,,,Berkeley,University of California Press,1981-01-01,HEB02781.0001.001,Latin American,https://hdl.handle.net/2027/heb02781.0001.001,9780520042353
Leonard, Irving A.,"Baroque times in old Mexico: seventeenth-century person, places, and practices",,,,Ann Arbor,University of Michigan Press,1966-01-01,HEB02771.0001.001,Latin American,https://hdl.handle.net/2027/heb02771.0001.001,9780472061105
Lanning, John Tate,Academic culture in the Spanish colonies,,,,London,Oxford University Press,1940-01-01,HEB02769.0001.001,Latin American,https://hdl.handle.net/2027/heb02769.0001.001,9781628201215
,,Relations between East and West in the Middle Ages,,,,Edinburgh,Edinburgh University Press,1973-01-01,HEB02965.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02965.0001.001,9780852242377
Bury, J. B.,The imperial administrative system in the ninth century: with a revised text of the Kletorologion of Philotheos,,,,New York,Burt Franklin,1958-01-01,HEB02958.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02958.0001.001
Miller, Dean A.,Imperial Constantinople,,,,New York,Wiley,1969-01-01,HEB02956.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02956.0001.001,9780471603719
Kaegi, Walter Emil,Some thoughts on Byzantine military strategy,,,,"Brookline, Mass.",Hellenic College Press,1983-01-01,HEB02999.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02999.0001.001,9780916586959
Campbell, Mary B.,"The witness and the other world: exotic European travel writing, 400-1600",,,,Ithaca,Cornell University Press,1991-01-01,HEB03193.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03193.0001.001,9781501721090
Blackburn, Robin,"The overthrow of colonial slavery, 1776-1848",,,,London,Verso,1988-01-01,HEB03158.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03158.0001.001,9781844674763
Yu, Ying-shih,Trade and expansion in Han China: a study in the structure of Sino-barbarian economic relations,,,,Berkeley,University of California Press,1967-01-01,HEB03190.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03190.0001.001,9780520368064
Dunn, Ross E.,"The adventures of Ibn Battuta, a Muslim traveler of the fourteenth century",,,,Berkeley,University of California Press,2005-01-01,HEB03195.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03195.0001.001,9780520243859
Bate, Weston,"Lucky city: the first generation at Ballarat, 1851-1901",,,,"Carlton, Vic.",Melbourne University Press,2003-01-01,HEB03357.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03357.0001.001,9780522877045
Gammage, Bill,Narrandera Shire,,,,Narrandera,Bill Gammage for the Narrandera Shire Council,1986-01-01,HEB03359.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03359.0001.001,9781862525528
Hirst, J. B.,"Adelaide and the country, 1870-1917: their social and political relationship",,,,"Carlton, Australia",Melbourne University Press,1973-01-01,HEB03360.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03360.0001.001,9781597406499
Hirst, J. B.,Convict society and its enemies: a history of early New South Wales,,,,Sydney,Allen & Unwin,1983-01-01,HEB03367.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03367.0001.001,9780868613499
Smith, Bernard,"Australian painting, 1788-2000",,,,"South Melbourne, Vic.",Oxford University Press,2001-01-01,HEB03400.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03400.0001.001,9780195515541
Fitzgerald, Shirley,"Rising damp: Sydney, 1870-90",,,,Melbourne,Oxford University Press,1987-01-01,HEB03388.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03388.0001.001,9780195547504
O'Farrell, Patrick James,"The Catholic Church in Australia: a short history, 1788-1967",,,,London,Geoffrey Chapman,1969-01-01,HEB03405.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03405.0001.001,9780225488098
Ward, Russel Braddock,The Australian legend,,,,Melbourne,Oxford University Press,2003-01-01,HEB03402.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03402.0001.001,9780195502862
"Adorno, Rolena; Pautz"," Rolena; Pautz, Patrick Charles","Alvar Núñez Cabeza de Vaca: his account, his life, and the expedition of Pánfilo de Narváez, Vol. 1",,,,"Lincoln, Neb.",University of Nebraska Press,1999-01-01,HEB03503.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03503.0001.001,9780803214545
Beck, David,"Siege and survival: history of the Menominee Indians, 1634-1856",,,,Lincoln,University of Nebraska Press,2002-01-01,HEB03501.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03501.0001.001,9780803213302
Hurtado, Albert L.,"Intimate frontiers: sex, gender, and culture in old California",,,,Albuquerque,University of New Mexico Press,1999-01-01,HEB03508.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03508.0001.001,9780826356468
Fixico, Donald Lee,The urban Indian experience in America,,,,Albuquerque,University of New Mexico Press,2000-01-01,HEB03510.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03510.0001.001,9780826322166
White, Richard,"The roots of dependency: subsistence, environment, and social change among the Choctaws, Pawnees, and Navajos",,,,Lincoln,University of Nebraska Press,1988-01-01,HEB03661.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03661.0001.001,9780803297241
Taylor, Graham D.,"The New Deal and American Indian tribalism: the administration of the Indian reorganization act, 1934-45",,,,Lincoln,University of Nebraska Press,1980-01-01,HEB03664.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03664.0001.001,9780803294462
Shipek, Florence Connolly,"Pushed into the rocks: southern California Indian land tenure, 1769-1986",,,,Lincoln,University of Nebraska Press,1988-01-01,HEB03662.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03662.0001.001,9780803241787
Sherman, William L.,Forced native labor in sixteenth-century Central America,,,,Lincoln,University of Nebraska Press,1979-01-01,HEB03659.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03659.0001.001,9780803241008
,,The Early years of Native American art history: the politics of scholarship and collecting,,,,Seattle,University of Washington Press,1992-01-01,HEB03801.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03801.0001.001,9780295972022
Cornell, Stephen E.,The return of the native: American Indian political resurgence,,,,New York,Oxford University Press,1988-01-01,HEB03800.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03800.0001.001,9780198020820
Kirk, Ruth,"Tradition & change on the Northwest Coast: the Makah, Nuu-chah-nulth, southern Kwakiutl, and Nuxalk",,,,Seattle,University of Washington Press,1986-01-01,HEB03803.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03803.0001.001,9780295966281
Fowler, Loretta,"Shared symbols, contested meanings: Gros Ventre culture and history, 1778-1984",,,,Ithaca,Cornell University Press,1987-01-01,HEB03808.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03808.0001.001,9781501724176
Hounshell, David A.,"From the American system to mass production, 1800-1932: the development of manufacturing technology in the United States",,,,Baltimore,Johns Hopkins University Press,1985-01-01,HEB04049.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb04049.0001.001,9780801831584
,,Broken silence: voices of Japanese feminism,,,,Berkeley,University of California Press,1997-01-01,HEB04075.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04075.0001.001,9780520085145
Saso, Mary,Women in the Japanese workplace,,,,London,H. Shipman,1990-01-01,HEB04070.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04070.0001.001,9780948096198
Brinton, Mary C.,Women and the economic miracle: gender and work in postwar Japan,,,,Berkeley,University of California Press,1992-01-01,HEB04074.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04074.0001.001,9780520089204
Venarde, Bruce L.,"Women's monasticism and medieval society: nunneries in France and England, 890-1215",,,,Ithaca,Cornell University Press,1997-01-01,HEB04155.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04155.0001.001,9780801486159
Chojnacki, Stanley,Women and men in Renaissance Venice: twelve essays on patrician society,,,,Baltimore,Johns Hopkins University Press,2000-01-01,HEB04157.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04157.0001.001,9780801863950
Elliott, Dyan,Spiritual marriage: sexual abstinence in medieval wedlock,,,,"Princeton, N.J.",Princeton University Press,1993-01-01,HEB04168.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04168.0001.001,9780691086491
Lerner, Gerda,The creation of feminist consciousness: from the Middle Ages to eighteen-seventy,,,,New York,Oxford University Press,1993-01-01,HEB04213.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04213.0001.001,9780195090604
Clark, Anna,The struggle for the breeches: gender and the making of the British working class,,,,"Berkeley, Calif.",University of California Press,1997-01-01,HEB04355.0001.001,Gender Studies,https://hdl.handle.net/2027/heb04355.0001.001,9780520208834
Bird, Phyllis A.,Missing persons and mistaken identities: women and gender in ancient Israel,,,,"Minneapolis, Minn.",Fortress Press,1997-01-01,HEB04268.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04268.0001.001,9780800631284
Meyers, Carol L.,Discovering Eve: ancient Israelite women in context,,,,New York,Oxford University Press,1991-01-01,HEB04287.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04287.0001.001,9780195362190
DuBois, Page,Centaurs and amazons: women and the pre-history of the great chain of being,,,,Ann Arbor,University of Michigan Press,1991-01-01,HEB04335.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04335.0001.001,9780472100217
Herr, Richard,Rural change and royal finances in Spain at the end of the old regime,,,,Berkeley,University of California Press,1989-01-01,HEB00397.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00397.0001.001,9780520059481
Huang, Philip C.,The peasant economy and social change in North China,,,,"Stanford, Calif.",Stanford University Press,1985-01-01,HEB00400.0001.001,Asian: China and Inner Asia,https://hdl.handle.net/2027/heb00400.0001.001,9780804780995
,,"Studying medieval women: sex, gender, feminism",,,,"Cambridge, Mass.",Medieval Academy of America,1993-01-01,HEB04426.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04426.0001.001,9780915651061
Alzona, Encarnación,"The Filipino woman: her social, economic, and political status, 1565-1933",,,,Manila,University of the Philippines Press,1934-01-01,HEB04431.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04431.0001.001
Seely, Bruce E.,Building the American Highway System: Engineers as Policy Makers,,,,"Philadelphia, PA",Temple University Press,1987-01-01,HEB99041.0001.001,Science & Technology,https://hdl.handle.net/2027/heb99041.0001.001,9781628201376
Barrett, Paul,"The Automobile and Urban Transit: The Formation of Public Policy in Chicago, 1900-1930",,,,"Philadelphia, PA",Temple University Press,1983-01-01,HEB99038.0001.001,Science & Technology,https://hdl.handle.net/2027/heb99038.0001.001,9781628201321
von Hippel, Eric,Democratizing Innovation,,,,"Cambridge, MA",The MIT Press,2005-01-01,HEB33113.0001.001,Science & Technology,https://hdl.handle.net/2027/heb33113.0001.001,9781628201307
Asher-Greve, Julia M.,Frauen in altsumerischer Zeit,,,,Malibu,Undena,1985-01-01,HEB04277.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04277.0001.001,9780890031629
Jordan, Winthrop D,Tumult and silence at Second Creek: an inquiry into a Civil War slave conspiracy,,,,Baton Rouge,Louisiana State University Press,1993-01-01,HEB00096.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb00096.0001.001,9780807141984
Sugrue, Thomas J.,The origins of the urban crisis: race and inequality in postwar Detroit,,,,"Princeton, N.J.",Princeton University Press,1996-01-01,HEB00082.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb00082.0001.001,9780691058887
Scott, Joan Wallach,Gender and the politics of history,,,,New York,Columbia University Press,1999-01-01,HEB00103.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb00103.0001.001,9780231118576
Cohen, Lizabeth,"Making a new deal: industrial workers in Chicago, 1919-1939",,,,Cambridge,Cambridge University Press,2008-01-01,HEB00088.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb00088.0001.001,9781107595842
Fischer, Claude S.,America calling: a social history of the telephone to 1940,,,,Berkeley,University of California Press,1992-01-01,HEB00141.0001.001,Science & Technology,https://hdl.handle.net/2027/heb00141.0001.001,9780520915008
De Roover, Raymond,"The Medici Bank: its organization, management, operations and decline",,,,New York,New York University Press,1948-01-01,HEB00138.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00138.0001.001,9781597403818
Fisher, Raymond Henry,"The Russian fur trade, 1550-1700",,,,Berkeley,University of California Press,1943-01-01,HEB00142.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00142.0001.001,9781597403825
Galpern, A. N.,The religions of the people in sixteenth-century Champagne,,,,"Cambridge, Mass.",Harvard University Press,1976-01-01,HEB00144.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00144.0001.001,9780674758360
Reid, Donald,Paris sewers and sewermen: realities and representations,,,,"Cambridge, Mass.",Harvard University Press,1991-01-01,HEB00185.0001.001,Science & Technology,https://hdl.handle.net/2027/heb00185.0001.001,9780674654631
Misa, Thomas J,"A nation of steel: the making of modern America, 1865-1925",,,,Baltimore,Johns Hopkins University Press,1999-01-01,HEB00172.0001.001,Science & Technology,https://hdl.handle.net/2027/heb00172.0001.001,9780801860522
McNeill, John T.,The Celtic penitentials and their influence on continental Christianity,,,,Paris,Édourad Champion,1923-01-01,HEB00170.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb00170.0001.001,9781597403849
Cuno, Kenneth M.,"The Pasha's peasants: land, society, and economy in Lower Egypt, 1740-1858",,,,Cambridge [U.K.],Cambridge University Press,1992-01-01,HEB00228.0001.001,Middle Eastern: 632-1918,https://hdl.handle.net/2027/heb00228.0001.001,9781597409490
Clancy-Smith, Julia Ann,"Rebel and saint: Muslim notables, populist protest, colonial encounters (Algeria and Tunisia, 1800-1904)",,,,Berkeley,University of California Press,1994-01-01,HEB00223.0001.001,Middle Eastern: 632-1918,https://hdl.handle.net/2027/heb00223.0001.001,9780520920378
Gillingham, John,"Coal, steel, and the rebirth of Europe, 1945-1955: the Germans and French from Ruhr conflict to economic community",,,,Cambridge [England],Cambridge University Press,1991-01-01,HEB00247.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00247.0001.001,9780521400596
Bennett, Edward W,"Germany and the diplomacy of the financial crisis, 1931",,,,"Cambridge, Mass.",Harvard University Press,1962-01-01,HEB00213.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00213.0001.001,9780674352506
Smith, Leonard V.,Between mutiny and obedience: the case of the French Fifth Infantry Division during World War I,,,,"Princeton, N.J.",Princeton University Press,1994-01-01,HEB00313.0001.001,Military History,https://hdl.handle.net/2027/heb00313.0001.001,9781400863792
Pipes, Richard,"The formation of the Soviet Union: communism and nationalism, 1917-1923 : with a new preface",,,,"Cambridge, Mass.",Harvard University Press,1997-01-01,HEB00295.0001.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb00295.0001.001,9780674309517
Martin, Calvin,Keepers of the game: Indian-animal relationships and the fur trade,,,,Berkeley,University of California Press,1978-01-01,HEB00280.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb00280.0001.001,9780520046375
Nolan, Mary,Visions of modernity: American business and the modernization of Germany,,,,New York,Oxford University Press,1994-01-01,HEB00291.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00291.0001.001,9780195361438
Brenner, Robert,"Merchants and revolution: commercial change, political conflict, and London's overseas traders, 1550-1653",,,,London,Verso,2003-01-01,HEB00355.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00355.0001.001,9781859843338
Axtell, James,The invasion within: the contest of cultures in Colonial North America,,,,New York,Oxford University Press,1985-01-01,HEB00341.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb00341.0001.001,9780195041545
Babcock, Robert H,Gompers in Canada: a study in American continentalism before the First World War,,,,Toronto,University of Toronto Press,1974-01-01,HEB00342.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb00342.0001.001,9781442656437
Arnesen, Eric,"Waterfront workers of New Orleans: race, class, and politics, 1863-1923",,,,New York,Oxford University Press,1991-01-01,HEB00340.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb00340.0001.001,9780195053807
Hughes, Kathleen,The church in early Irish society,,,,"Ithaca, N.Y.",Cornell University Press,1966-01-01,HEB01509.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01509.0001.001
,,"The Jewish-Christian debate in the high Middle Ages: a critical edition of the Niẓẓaḥon vetus with an introd., translation, and commentary",,,,Philadelphia,Jewish Publication Society of America,1979-01-01,HEB01522.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01522.0001.001,9780827601048
Nicol, Donald MacGillivray,"The immortal emperor: the life and legend of Constantine Palaiologos, last emperor of the Romans",,,,Cambridge [England],Cambridge University Press,1992-01-01,HEB01524.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01524.0001.001,9780521467179
Mac Niocaill, Gearóid,Ireland before the Vikings,,,,Dublin,Gill and Macmillan,1972-01-01,HEB01510.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01510.0001.001,9780717105588
Fogelson, Robert M.,"The fragmented metropolis: Los Angeles, 1850-1930",,,,Berkeley,University of California Press,1993-01-01,HEB01701.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb01701.0001.001,9780520082304
Hunter, Tera W.,To 'joy my freedom: southern Black women's lives and labors after the Civil War,,,,"Cambridge, Mass.",Harvard University Press,1997-01-01,HEB01712.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb01712.0001.001,9780674893092
Knight, Franklin W.,The Caribbean: the genesis of a fragmented nationalism,,,,New York,Oxford University Press,2012-01-01,HEB01718.0001.001,Caribbean,https://hdl.handle.net/2027/heb01718.0001.001,9780195381337
Berghahn, Volker R.,"Modern Germany: society, economy and politics in the twentieth century",,,,Cambridge [England],Cambridge University Press,1987-01-01,HEB01673.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb01673.0001.001,9780521347488
Holt, Mack P.,"The French wars of religion, 1562-1629",,,,Cambridge [England],Cambridge University Press,1995-01-01,HEB01888.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb01888.0001.001,9780521358736
Akita, George,"Foundations of constitutional government in modern Japan, 1868-1900",,,,Cambridge,Harvard University Press,1967-01-01,HEB01887.0001.001,"Asian: Northeast (Japan, Korea)",https://hdl.handle.net/2027/heb01887.0001.001,9780674729391
Prell, Riv-Ellen,Fighting to become Americans: assimilation and the trouble between Jewish women and Jewish men,,,,Boston,Beacon Press,1999-01-01,HEB01884.0001.001,Jewish Studies,https://hdl.handle.net/2027/heb01884.0001.001,9780807036334
Hunt, Lynn Avery,The family romance of the French Revolution,,,,Berkeley,University of California Press,1992-01-01,HEB01881.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb01881.0001.001,9780520913776
,,Women in Africa: studies in social and economic change,,,,"Stanford, Calif.",Stanford University Press,1976-01-01,HEB02070.0001.001,African,https://hdl.handle.net/2027/heb02070.0001.001,9780804766241
Browne, Edward Granville,"A literary history of Persia, Vol. 1",,,,"Bethesda, Md.",Iranbooks,1997-01-01,HEB02083.0001.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb02083.0001.001,9780936347622
Akhavi, Shahrough,Religion and politics in contemporary Iran: clergy-state relations in the Pahlavī period,,,,Albany,State University of New York Press,1980-01-01,HEB02000.0001.001,Middle Eastern: 1918-present,https://hdl.handle.net/2027/heb02000.0001.001,9780873954563
Cohen, Miriam,"Workshop to office: two generations of Italian women in New York City, 1900-1950",,,,"Ithaca, N.Y.",Cornell University Press,1993-01-01,HEB02076.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb02076.0001.001,9780801480058
Schoonover, Thomas David,"Dollars over dominion: the triumph of liberalism in Mexican-United States relations, 1861-1867",,,,Baton Rouge,Louisiana State University Press,1978-01-01,HEB02287.0001.001,Latin American,https://hdl.handle.net/2027/heb02287.0001.001,9780807103685
Ruiz, Ramón Eduardo,On the rim of Mexico: encounters of the rich and poor,,,,"Boulder, Colo.",Westview Press,1998-01-01,HEB02286.0001.001,Latin American,https://hdl.handle.net/2027/heb02286.0001.001,9780813337340
Ivins, William Mills,Prints and visual communication,,,,"Cambridge, Mass.",The MIT Press,1969-01-01,HEB02292.0001.001,Comparative/World,https://hdl.handle.net/2027/heb02292.0001.001,9780262590020
Pomeroy, Sarah B,Women in Hellenistic Egypt: from Alexander to Cleopatra,,,,New York,Schocken Books,1984-01-01,HEB02265.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb02265.0001.001,9780805239119
Schmid, Andre,"Korea between empires, 1895-1919",,,,New York,Columbia University Press,2002-01-01,HEB02415.0001.001,"Asian: Northeast (Japan, Korea)",https://hdl.handle.net/2027/heb02415.0001.001,9780231506304
Toby, Ronald P.,State and diplomacy in early modern Japan: Asia in the development of the Tokugawa Bakufu,,,,"Stanford, Calif.",Stanford University Press,1991-01-01,HEB02418.0001.001,"Asian: Northeast (Japan, Korea)",https://hdl.handle.net/2027/heb02418.0001.001,9780804719520
Bayly, C. A.,Indian society and the making of the British Empire,,,,Cambridge [England],Cambridge University Press,1990-01-01,HEB02420.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02420.0001.001,9780521386500
Smith, Thomas C.,The agrarian origins of modern Japan,,,,"Stanford, Calif.",Stanford University Press,1959-01-01,HEB02417.0001.001,"Asian: Northeast (Japan, Korea)",https://hdl.handle.net/2027/heb02417.0001.001,9780804705318
,,Tensions of empire: colonial cultures in a bourgeois world,,,,Berkeley,University of California Press,1997-01-01,HEB02494.0001.001,European: General & Multiperiod,https://hdl.handle.net/2027/heb02494.0001.001,9780520205406
,,Suffrage and beyond: international feminist perspectives,,,,"Auckland, NZ",Auckland University Press,1994-01-01,HEB02496.0001.001,Comparative/World,https://hdl.handle.net/2027/heb02496.0001.001,9781869401078
Accampo, Elinor Ann,"Gender and the politics of social reform in France, 1870-1914",,,,Baltimore,Johns Hopkins University Press,1995-01-01,HEB02489.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb02489.0001.001,9780801850615
